"date_utc","date_time_utc","usdtz_price"
2021-07-14,"2021-07-14 21:50:03",0.369491635777772
2021-07-14,"2021-07-14 22:00:04",0.36965133916482
2021-07-14,"2021-07-14 22:10:03",0.370356695498442
2021-07-14,"2021-07-14 22:20:03",0.370356695498442
2021-07-14,"2021-07-14 22:30:03",0.370528189205974
2021-07-14,"2021-07-14 22:40:03",0.367248204085311
2021-07-14,"2021-07-14 22:50:03",0.367612867285399
2021-07-14,"2021-07-14 23:00:04",0.367612867285399
2021-07-14,"2021-07-14 23:10:03",0.367612867285399
2021-07-14,"2021-07-14 23:20:03",0.367612867285399
2021-07-14,"2021-07-14 23:30:03",0.367612867285399
2021-07-14,"2021-07-14 23:40:04",0.36879764862013
2021-07-14,"2021-07-14 23:50:03",0.36879764862013
2021-07-15,"2021-07-15 00:00:04",0.36879764862013
2021-07-15,"2021-07-15 00:10:03",0.36879764862013
2021-07-15,"2021-07-15 00:20:03",0.371889668162361
2021-07-15,"2021-07-15 00:30:03",0.371889668162361
2021-07-15,"2021-07-15 00:40:03",0.371889668162361
2021-07-15,"2021-07-15 00:50:03",0.371889668162361
2021-07-15,"2021-07-15 01:00:04",0.373251803810115
2021-07-15,"2021-07-15 01:10:03",0.374129152544317
2021-07-15,"2021-07-15 01:20:03",0.364387439499867
2021-07-15,"2021-07-15 01:30:03",0.367697291037771
2021-07-15,"2021-07-15 01:40:03",0.367697291037771
2021-07-15,"2021-07-15 01:50:03",0.367697291037771
2021-07-15,"2021-07-15 02:00:04",0.370580160343228
2021-07-15,"2021-07-15 02:10:03",0.370580160343228
2021-07-15,"2021-07-15 02:20:03",0.370580160343228
2021-07-15,"2021-07-15 02:30:04",0.369658341128189
2021-07-15,"2021-07-15 02:40:03",0.369658341128189
2021-07-15,"2021-07-15 02:50:03",0.358111554233554
2021-07-15,"2021-07-15 03:00:04",0.351863829875873
2021-07-15,"2021-07-15 03:10:03",0.356434634274285
2021-07-15,"2021-07-15 03:20:03",0.356434634274285
2021-07-15,"2021-07-15 03:30:03",0.356443638325575
2021-07-15,"2021-07-15 03:40:03",0.356443638325575
2021-07-15,"2021-07-15 03:50:03",0.357739415307172
2021-07-15,"2021-07-15 04:00:04",0.364953833613984
2021-07-15,"2021-07-15 04:10:03",0.364953833613984
2021-07-15,"2021-07-15 04:20:03",0.364953833613984
2021-07-15,"2021-07-15 04:30:03",0.364953833613984
2021-07-15,"2021-07-15 04:40:03",0.36693572367146
2021-07-15,"2021-07-15 04:50:03",0.367015228710278
2021-07-15,"2021-07-15 05:00:04",0.367015228710278
2021-07-15,"2021-07-15 05:10:03",0.367072630019714
2021-07-15,"2021-07-15 05:20:03",0.367072630028449
2021-07-15,"2021-07-15 05:30:03",0.371724275719174
2021-07-15,"2021-07-15 05:40:03",0.371724275719174
2021-07-15,"2021-07-15 05:50:03",0.380369254799036
2021-07-15,"2021-07-15 06:00:03",0.380369254799036
2021-07-15,"2021-07-15 06:10:03",0.380369254799036
2021-07-15,"2021-07-15 06:20:03",0.380369254799036
2021-07-15,"2021-07-15 06:30:03",0.380369254799036
2021-07-15,"2021-07-15 06:40:03",0.380474431967003
2021-07-15,"2021-07-15 06:50:02",0.380474431980774
2021-07-15,"2021-07-15 07:00:04",0.380474431980774
2021-07-15,"2021-07-15 07:10:03",0.380474431980774
2021-07-15,"2021-07-15 07:20:03",0.38136566830935
2021-07-15,"2021-07-15 07:30:03",0.38136566830935
2021-07-15,"2021-07-15 07:40:03",0.381696042762085
2021-07-15,"2021-07-15 07:50:03",0.381710082266934
2021-07-15,"2021-07-15 08:00:03",0.382265929910512
2021-07-15,"2021-07-15 08:10:03",0.379042935509539
2021-07-15,"2021-07-15 08:20:03",0.379517288480607
2021-07-15,"2021-07-15 08:30:03",0.379574667431838
2021-07-15,"2021-07-15 08:40:03",0.380116857733712
2021-07-15,"2021-07-15 08:50:03",0.378315602064008
2021-07-15,"2021-07-15 09:00:04",0.379042935507945
2021-07-15,"2021-07-15 09:10:03",0.379042935507945
2021-07-15,"2021-07-15 09:20:03",0.379042935507945
2021-07-15,"2021-07-15 09:30:03",0.379042935507945
2021-07-15,"2021-07-15 09:40:03",0.375755484623389
2021-07-15,"2021-07-15 09:50:03",0.375822499392492
2021-07-15,"2021-07-15 10:00:04",0.376320308244678
2021-07-15,"2021-07-15 10:10:03",0.376320308244678
2021-07-15,"2021-07-15 10:20:03",0.376320308244678
2021-07-15,"2021-07-15 10:30:03",0.382955838430906
2021-07-15,"2021-07-15 10:40:03",0.386248483931051
2021-07-15,"2021-07-15 10:50:03",0.386269259830935
2021-07-15,"2021-07-15 11:00:03",0.386269259830935
2021-07-15,"2021-07-15 11:10:03",0.386363447888604
2021-07-15,"2021-07-15 11:20:03",0.386363447888604
2021-07-15,"2021-07-15 11:30:03",0.386363447888604
2021-07-15,"2021-07-15 11:40:03",0.386363447888604
2021-07-15,"2021-07-15 11:50:03",0.388688638044166
2021-07-15,"2021-07-15 12:00:03",0.384970032276643
